time,x0,x1
0,0,0.439453125
0.001999827,0,0.48828125
0.003999694,0,0.439453125
0.005999521,0,0.537109375
0.007999388,0,0.48828125
0.009999215,0,0.439453125
0.011999042,0,0.439453125
0.013998909,0,0.439453125
0.015998736,0,0.439453125
0.017998603,0,0.439453125
0.01999843,0,0.439453125
0.021998257,0.008340511,0.439453125
0.023998124,0.022241364,0.439453125
0.025997951,0.047262897,0.48828125
0.027997818,0.086185275,0.48828125
0.029997645,0.125107639,0.439453125
0.031997472,0.169590319,0.439453125
0.033997339,0.197391977,0.439453125
0.035997166,0.216853128,0.48828125
0.037997033,0.222413456,0.537109375
0.03999686,0.219633292,0.439453125
0.041996687,0.216853128,0.439453125
0.043996554,0.216853128,0.341796875
0.045996381,0.219633292,0.48828125
0.047996249,0.227973783,0.48828125
0.049996075,0.239094434,0.537109375
0.051995903,0.258555568,0.29296875
0.05399577,0.28357701,0.341796875
0.055995597,0.28357701,0.48828125
0.057995464,0.319719062,0.390625
0.059995291,0.361421377,0.439453125
0.061995118,0.408683924,0.390625
0.063994985,0.469847084,0.48828125
0.065994812,0.53935046,0.439453125
0.067994679,0.608853576,0.48828125
0.069994506,0.672796183,0.439453125
0.071994333,0.722838033,0.48828125
0.0739942,0.750638983,0.439453125
0.075994027,0.750638983,0.439453125
0.077993894,0.736738515,0.439453125
0.079993721,0.711717637,0.439453125
0.081993548,0.672796183,0.48828125
0.083993415,0.628314397,0.48828125
0.085993242,0.581052363,0.439453125
0.087993109,0.522669672,0.439453125
0.089992936,0.461506663,0.439453125
0.091992763,0.397563333,0.439453125
0.09399263,0.325279374,0.439453125
0.095992457,0.252995245,0.439453125
0.097992324,0.183491149,0.48828125
0.099992151,0.10286629,0.439453125
0.101991978,0.027801705,0.439453125
0.103991845,-0.052823237,0.439453125
0.105991672,-0.13900848,0.439453125
0.107991539,-0.214072964,0.439453125
0.109991366,-0.286357169,0.439453125
0.111991193,-0.355861072,0.439453125
0.11399106,-0.355861072,0.439453125
0.115990887,-0.419804511,0.439453125
0.117990754,-0.478187502,0.439453125
0.119990581,-0.525449805,0.439453125
0.121990408,-0.564371613,0.439453125
0.123990275,-0.600513217,0.439453125
0.125990102,-0.639434855,0.439453125
0.127989969,-0.686696714,0.439453125
0.129989796,-0.745078797,0.439453125
0.131989623,-0.8201411,0.390625
0.13398949,-0.895202941,0.439453125
0.135989317,-0.970264277,0.439453125
0.137989185,-1.048105084,0.439453125
0.139989012,-1.125945257,0.439453125
0.141988838,-1.198224807,0.439453125
0.143988706,-1.264943837,0.439453125
0.145988533,-1.3205426,0.439453125
0.1479884,-1.359461492,0.439453125
0.149988227,-1.381700767,0.439453125
0.151988054,-1.395600279,0.439453125
0.153987921,-1.403939973,0.439453125
0.155987748,-1.412279658,0.48828125
0.157987615,-1.412279658,0.439453125
0.159987442,-1.417839442,0.439453125
0.161987269,-1.431738883,0.439453125
0.163987136,-1.445638297,0.439453125
0.165986963,-1.456757808,0.439453125
0.16798683,-1.462317557,0.48828125
0.169986657,-1.459537683,0.439453125
0.171986484,-1.445638297,0.439453125
0.173986351,-1.42617911,0.439453125
0.175986178,-1.387260575,0.439453125
0.177986045,-1.340002071,0.439453125
0.179985872,-1.273283677,0.439453125
0.181985699,-1.18988489,0.439453125
0.183985566,-1.103705275,0.439453125
0.185985393,-1.014744813,0.439453125
0.18798526,-0.914663337,0.439453125
0.189985087,-0.806240707,0.439453125
0.191984914,-0.686696714,0.439453125
0.193984781,-0.550470977,0.439453125
0.195984608,-0.408683924,0.439453125
0.197984475,-0.250215083,0.439453125
0.199984302,-0.083405105,0.439453125
0.201984129,0.097305952,0.439453125
0.203983996,0.280796851,0.439453125
0.205983823,0.492088191,0.439453125
0.20798369,0.681136503,0.48828125
0.209983517,0.867402316,0.439453125
0.211983344,1.062005163,0.439453125
0.213983211,1.267723785,0.439453125
0.215983038,1.267723785,0.439453125
0.217982905,1.476216908,0.439453125
0.219982732,1.695822707,0.439453125
0.221982559,1.901522005,0.439453125
0.223982426,2.123890544,0.439453125
0.225982253,2.329572113,0.439453125
0.227982121,2.518568126,0.439453125
0.229981948,2.707555137,0.48828125
0.231981775,2.918764431,0.439453125
0.233981642,3.093835982,0.439453125
0.235981469,3.260561977,0.439453125
0.237981336,3.427278899,0.439453125
0.239981163,3.593986284,0.439453125
0.24198099,3.757905464,0.439453125
0.243980857,3.935704653,0.439453125
0.245980684,4.110713562,0.439453125
0.247980551,4.282932243,0.48828125
0.249980378,4.455138199,0.48828125
0.251980205,4.61622212,0.439453125
0.253980072,4.777294038,0.48828125
0.255979899,4.952237378,0.439453125
0.257979766,5.091070512,0.48828125
0.259979593,5.091070512,0.48828125
0.26197942,5.21323554,0.48828125
0.263979287,5.321511664,0.48828125
0.265979114,5.415901132,0.48828125
0.267978981,5.485302071,0.390625
0.269978808,5.538045014,0.48828125
0.271978635,5.563027975,0.48828125
0.273978502,5.560252108,0.48828125
0.275978329,5.538045014,0.48828125
0.277978196,5.499181942,0.48828125
0.279978023,5.435333661,0.48828125
0.28197785,5.335392768,0.48828125
0.283977717,5.221564692,0.48828125
0.285977544,5.093847075,0.48828125
0.287977411,4.946683852,0.48828125
0.289977238,4.777294038,0.48828125
0.291977065,4.588449875,0.48828125
